timestamp;container;name;cpu_percent;mem_percent;pids
1757356317;3674e0e9bbc7;docker-mongo-1;0.03;0.85;35
1757356321;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356321;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356324;e1a5aa3b168b;docker-django-1;0.05;1.24;9
1757356324;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356328;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356328;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356330;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356330;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356333;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356333;3674e0e9bbc7;docker-mongo-1;0.05;0.86;35
1757356337;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356337;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356341;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356341;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356344;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356344;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356347;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356347;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356350;e1a5aa3b168b;docker-django-1;0.07;1.25;9
1757356350;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356353;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356353;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356357;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356357;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356361;e1a5aa3b168b;docker-django-1;0.05;1.24;9
1757356361;3674e0e9bbc7;docker-mongo-1;0.04;0.85;35
1757356364;e1a5aa3b168b;docker-django-1;0.09;1.25;9
1757356364;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356366;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356366;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356370;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356370;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356373;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356373;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356377;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356377;3674e0e9bbc7;docker-mongo-1;0.03;0.85;35
1757356380;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356380;3674e0e9bbc7;docker-mongo-1;0.05;0.86;35
1757356383;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356383;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356387;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356387;3674e0e9bbc7;docker-mongo-1;0.04;0.85;35
1757356390;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356390;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356393;e1a5aa3b168b;docker-django-1;0.08;1.24;9
1757356393;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356396;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356396;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757372428,348064b82d19,docker-django-1,0.1,1.49,9
1757372428,1ab98a3bb7da,docker-mongo-1,0.04,0.9,35
1757372431,348064b82d19,docker-django-1,0.08,1.49,9
